feature,method,score,leak_risk
Ticker_UNP,Pearson,0.0219,Low
Website_https://www.cheniere.com,Pearson,0.0219,Low
prev_rank_153.0,Pearson,0.0219,Low
prev_rank_328.0,Pearson,0.0219,Low
company_Union Pacific,Pearson,0.0219,Low
Website_https://www.up.com,Pearson,0.0219,Low
Ticker_LNG,Pearson,0.0219,Low
CEO_Lance M. Fritz,Pearson,0.0219,Low
CEO_Jack A. Fusco,Pearson,0.0219,Low
company_Cheniere Energy,Pearson,0.0219,Low
Ticker_HPQ,Pearson,0.0218,Low
Ticker_CAT,Pearson,0.0218,Low
Website_www.hp.com,Pearson,0.0218,Low
company_HP,Pearson,0.0218,Low
company_Caterpillar,Pearson,0.0218,Low
CEO_D. James Umpleby III,Pearson,0.0218,Low
prev_rank_56.0,Pearson,0.0218,Low
Website_www.caterpillar.com,Pearson,0.0218,Low
prev_rank_78.0,Pearson,0.0218,Low
CEO_Enrique J. Lores,Pearson,0.0218,Low
prev_rank_144.0,Pearson,0.0216,Low
CEO_Edward D. Breen,Pearson,0.0216,Low
Ticker_DD,Pearson,0.0216,Low
company_DuPont,Pearson,0.0216,Low
Website_https://www.dupont.com,Pearson,0.0216,Low
Website_https://www.truist.com,Pearson,0.0215,Low
company_Danaher,Pearson,0.0215,Low
prev_rank_119.0,Pearson,0.0215,Low
CEO_Rainer Blair,Pearson,0.0215,Low
prev_rank_130.0,Pearson,0.0215,Low
Ticker_TFC,Pearson,0.0215,Low
company_Truist Financial,Pearson,0.0215,Low
Ticker_DHR,Pearson,0.0215,Low
CEO_William H. Rogers Jr.,Pearson,0.0215,Low
Website_https://www.danaher.com,Pearson,0.0215,Low
city_Boca Raton,Pearson,0.0213,Low
Website_www.dow.com,Pearson,0.0209,Low
CEO_James R. Fitterling,Pearson,0.0209,Low
company_Lockheed Martin,Pearson,0.0209,Low
CEO_James D. Taiclet Jr.,Pearson,0.0209,Low
company_Dow,Pearson,0.0209,Low
prev_rank_82.0,Pearson,0.0209,Low
Ticker_DOW,Pearson,0.0209,Low
Ticker_LMT,Pearson,0.0209,Low
Website_www.lockheedmartin.com,Pearson,0.0209,Low
prev_rank_49.0,Pearson,0.0209,Low
state_TN,Pearson,0.0207,Low
city_San Antonio,Pearson,0.0204,Low
company_Gilead Sciences,Pearson,0.0204,Low
prev_rank_116.0,Pearson,0.0204,Low
Ticker_GILD,Pearson,0.0204,Low
CEO_Daniel P. O&#039;Day,Pearson,0.0204,Low
city_Foster City,Pearson,0.0204,Low
Website_https://www.gilead.com,Pearson,0.0204,Low
CEO_Robert D. Isom,Pearson,0.0202,Low
prev_rank_174.0,Pearson,0.0202,Low
Ticker_AAL,Pearson,0.0202,Low
Website_www.aa.com,Pearson,0.0202,Low
company_American Airlines Group,Pearson,0.0202,Low
company_United Airlines Holdings,Pearson,0.02,Low
Website_https://www.united.com,Pearson,0.02,Low
prev_rank_200.0,Pearson,0.02,Low
Ticker_UAL,Pearson,0.02,Low
CEO_J. Scott Kirby,Pearson,0.02,Low
Ticker_ELV,Pearson,0.0199,Low
CEO_Gail K. Boudreaux,Pearson,0.0199,Low
prev_rank_23.0,Pearson,0.0199,Low
Website_www.elevancehealth.com,Pearson,0.0199,Low
company_Elevance Health,Pearson,0.0199,Low
sector_Chemicals,Pearson,0.0196,Low
city_San Jose,Pearson,0.0195,Low
sector_Food & Drug Stores,Pearson,0.0195,Low
company_Deere,Pearson,0.0192,Low
prev_rank_88.0,Pearson,0.0192,Low
CEO_John C. May,Pearson,0.0192,Low
Website_www.deere.com,Pearson,0.0192,Low
Ticker_DE,Pearson,0.0192,Low
city_Moline,Pearson,0.0192,Low
city_Brentwood,Pearson,0.0192,Low
CEO_Michael F. Roman,Pearson,0.0189,Low
Ticker_MMM,Pearson,0.0189,Low
Website_www.3m.com,Pearson,0.0189,Low
city_Portland,Pearson,0.0189,Low
prev_rank_96.0,Pearson,0.0189,Low
company_3M,Pearson,0.0189,Low
CEO_Gary E. Dickerson,Pearson,0.0188,Low
Website_https://www.blackrock.com,Pearson,0.0188,Low
Website_https://www.amgen.com,Pearson,0.0188,Low
